oznaka,naziv,naselje,opcina,zupanija,klasifikacija,status,vrijeme_nastanka
Z-2235,Crkva Uznesenja Blažene Djevice Marije i župni dvor,Pregrada,PREGRADA,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-2082,Crkva sv. Donata,Pavlovec Pregradski,PREGRADA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,1730. god.
Z-2364,Crkva sv. Leonarda,Pregrada,PREGRADA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-2092,Crkva sv. Mihaela,Sopot,PREGRADA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-4663,Kapela Kristovog Raspeća,Pregrada,PREGRADA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-2634,Kapela sv. Stjepana Kralja,Bregi Kostelski,PREGRADA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-2084,"Kompleks crkve sv. Mirka (Emerika), stari župni dvor i kapela Trpećeg Isusa",Kostel,PREGRADA,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-2230,Crkva sv. Jakova,Gorjani Sutinski,RADOBOJ,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-2492,Župni dvor,Radoboj,RADOBOJ,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1778. god. do 1829. god.
Z-2093,Crkva Blažene Djevice Marije,Strmec,VELIKO TRGOVIŠĆE,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-3524,Crkva Majke Božje od Sedam Žalosti,Veliko Trgovišće,VELIKO TRGOVIŠĆE,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,1876. god.
Z-2100,Crkva sv. Antuna,Grabrovec,ZABOK,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-2237,Crkva sv. Ivana Evanđeliste,Ivanić Miljanski,ZAGORSKA SELA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 18. st.
Z-4104,Kurija župnog dvora,Zlatar,ZLATAR,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1870. god.
Z-2766,Župni dvor,Belec,ZLATAR,Krapinsko-zagorska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-2791,Crkva sv. Lovre,Lovrečan,ZLATAR BISTRICA,Krapinsko-zagorska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-6745,Crkva Preobraženja Gospodnjeg,Brinje,BRINJE,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1933. god.
Z-6352,Kapela sv. Petra i Pavla,Stajnica,BRINJE,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-2710,Ruševine starog grada Sokolca,Brinje,BRINJE,Ličko-senjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-7234,Crkva Rođenja Blažene Djevice Marije,Boričevac,DONJI LAPAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1844. god.
Z-6568,Crkva Rođenja Presvete Bogorodice,Doljani,DONJI LAPAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1799. god. do 1912. god.
Z-6569,Crkva sv. Ilije Proroka,Nebljusi,DONJI LAPAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1795. god.
Z-2938,Crkva Navještenja Blažene Djevice Marije,Klanac,GOSPIĆ,Ličko-senjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1842. god.
Z-3344,Crkva Rođenja sv. Jovana Preteče,Medak,GOSPIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1880. god.
Z-6845,Crkva Vozdiženija Časnog Krsta,Barlete,GOSPIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-2375,Crkva sv. Duha,Mušaluk,GOSPIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1700. god.
Z-4551,Crkva sv. Marije Karmelske,Smiljan,GOSPIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1864. god.
Z-3772,Kapela Bezgrešnog Začeća Blažene Djevice Marije,Smiljan,GOSPIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1863. god.
Z-3774,Kapela sv. Marije Magdalene,Gospić,GOSPIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1856. god.
Z-5790,Crkva Pohoda sv. Elizabete,Baške Oštarije,KARLOBAG,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1820. god.
Z-6344,Crkva sv. arhanđela Mihovila,Lovinac,LOVINAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-6342,Hram sv. Apostola Petra i Pavla,Štikada,LOVINAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1905. god.
Z-3773,Crkva sv. Anđela Čuvara,Lun,NOVALJA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-2485,Crkva sv. Kristofora,Stara Novalja,NOVALJA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-6730,Crkva sv. Kristofora,Metajna,NOVALJA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-4553,Crkva sv. Marije od Ružarija,Novalja,NOVALJA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,5. st. do 15. st.
Z-5657,Ostaci ladanjskog kompleksa biskupa Palčića s crkvom sv. Antuna Padovanskog,Caska,NOVALJA,Ličko-senjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1400. god. do 1450. god.
Z-4702,Ruševine crkve sv. Jurja,Caska,NOVALJA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,2. st. do 14. st.
Z-319,Crkva Sv. Trojstva,Otočac,OTOČAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-5804,Crkva sv. Arhanđela Mihovila,Dabar,OTOČAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1730. god.
Z-6567,Crkva sv. Arhanđela Mihovila,Ramljani,OTOČAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1730. god.
Z-3180,Crkva sv. Franje Paulskog,Ličko Lešće,OTOČAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1740. god.
Z-4660,Crkva sv. Save,Brlog,OTOČAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1740. god.
Z-3181,Crkva sv. Velikomučenika Georgija,Otočac,OTOČAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1863. god.
Z-2585,Kapela Bezgrešnog začeća Blažene Djevice Marije,Otočac,OTOČAC,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1723. god.
Z-1732,Crkva Sv. Trojice,Bukovac Perušićki,PERUŠIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-309,Crkva sv. Križa,Perušić,PERUŠIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-6629,Crkva svetog apostola evanđelista Luke,Studenci,PERUŠIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1774. god.
Z-6566,Kapela sv. Ane,Gornji Kosinj,PERUŠIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1905. god.
Z-5792,Kapela sv. Roka,Perušić,PERUŠIĆ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1901. god.
Z-7229,Crkva Svetih Arhangela Mihajla i Gavrila,Korenica,PLITVIČKA JEZERA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1842. god.
Z-2001,Crkva Majke Božje Snježne,Krivi Put,SENJ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1865. god.
Z-6353,Crkva sv. Josipa,Jablanac,SENJ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-2004,Crkva sv. Martina,Senj,SENJ,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-2002,Kapela sv. Mihovila s fontanom i grobnicom,Senjska Draga,SENJ,Ličko-senjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1857. god.
Z-3858,Crkva Blažene Djevice Marije,Bunić,UDBINA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1852. god. do 1864. god.
Z-6664,Crkva Rođenja Presvete Bogorodice,Debelo Brdo,UDBINA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1764. god.
Z-7230,Crkva Svetog Velikomučenika Georgija,Donji Mekinjar,UDBINA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1861. god.
Z-328,Crkva sv. Jovana,Jošan,UDBINA,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 18. st.
Z-6061,Crkva sv. Petra i Pavla,Zalužnica,VRHOVINE,Ličko-senjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1770. god.
Z-1107,Pil sv. Trojstva,Belica,BELICA,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,1793. god.
Z-1111,Crkva sv. Magdalene i pil sv. Trojstva,Donji Kraljevec,DONJI KRALJEVEC,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 19. st.
Z-1113,Crkva sv. Vida i župni dvor,Donji Vidovec,DONJI VIDOVEC,Međimurska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st. do 18. st.
Z-2623,"Crkva sv. Martina, Ivana Grščića 2",Podturen,PODTUREN,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 18. st.
Z-1110,Crkva sv. Jakova,Čukovec,PRELOG,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-1119,Crkva sv. Jakova i pil sv. Obitelji,Prelog,PRELOG,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,1758. st. do 1761. st.
Z-1109,Crkva sv. Lovre,Cirkovljan,PRELOG,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st. do 19. st.
Z-1114,Poklonac sv. Florijana,Draškovec,PRELOG,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,1793. god.
Z-3946,Poklonac sv. Trojstva,Pribislavec,PRIBISLAVEC,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,1800. god.
Z-1121,"Crkva Uznesenja Blažene Djevice Marije, kurija župnog dvora i pil Bogorodice",Sveta Marija,SVETA MARIJA,Međimurska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1789. god.
Z-1117,Crkva sv. Jurja i župni dvor,Lopatinec,SVETI JURAJ NA BREGU,Međimurska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-6168,Kameni pil Sv. Trojstva,Čakovec,ČAKOVEC,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,1794. god. do 1794. god.
N-25,Kapela sv. Jelene,Šenkovec,ŠENKOVEC,Međimurska,sakralna graditeljska baština,kulturno dobro od nacionalnog značenja,14. st. do 19. st.
Z-911,Kapela sv. Jelene,Šenkovec,ŠENKOVEC,Međimurska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 19. st.
Z-912,Crkva sv. Jeronima i nekadašnja pavlinska rezidencija,Štrigova,ŠTRIGOVA,Međimurska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1738. god.
Z-1619,Crkva sv. Arhanđela Mihajla,Beli Manastir,BELI MANASTIR,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1771. st.
Z-1650,Crkva reformiranih,Kopačevo,BILJE,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1804. god.
Z-1653,Crkva reformiranih,Lug,BILJE,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-5820,Reformirana kršćanska crkva sa župnim stanom i školom,Vardarac,BILJE,Osječko-baranjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-1628,Crkva sv. Ivana Krstitelja,Darda,DARDA,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1630,Crkva sv. Mihaila Arhanđela,Darda,DARDA,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1777. god.
Z-1632,Crkva sv. Mihovila Arkanđela,Donji Miholjac,DONJI MIHOLJAC,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1636,Crkva sv. Mihovila Arkanđela,Drenje,DRENJE,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1770. god.
Z-1621,Crkva sv. Nikolaja,Bijelo Brdo,ERDUT,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1764. god.
Z-1245,Patrijaršijski dvor,Dalj,ERDUT,Osječko-baranjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,
Z-1762,Reformatorska crkva,Laslovo,ERNESTINOVO,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1878. god.
Z-6326,Crkva sv. Trojice,Gazije,FERIČANCI,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1754. god.
Z-1644,Kapela sv. Tri kralja,Gorjani,GORJANI,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1647,Crkva sv. Nikolaja,Jagodnjak,JAGODNJAK,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1794. god.
Z-1649,Reformatorska crkva,Kneževi Vinogradi,KNEŽEVI VINOGRADI,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-5947,Reformatska crkva sa župnim stanom i školom,Zmajevac,KNEŽEVI VINOGRADI,Osječko-baranjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-5819,Reformirana kršćanska crkva sa župnim stanom i gospodarskom zgradom,Kotlina,KNEŽEVI VINOGRADI,Osječko-baranjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-1666,Isusovački samostan,Osijek,OSIJEK,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1719. god.
Z-1261,Kapela sv. Roka,Osijek,OSIJEK,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1748. god. do 1754. god.
Z-1661,Kapela sv. Roka,Osijek,OSIJEK,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1742. god.
Z-2324,Mauzolej Pejačević,Osijek,OSIJEK,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1891. god.
Z-1663,Novi samostan sv. Križa,Osijek,OSIJEK,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1705. god. do 1732. god.
Z-1266,Reformirana kršćanska crkva,Osijek,OSIJEK,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1823. god.
Z-1270,Crkva sv. Ilije,Poganovci,PODGORAČ,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-6998,Mauzolej Pavla Pejačevića,Podgorač,PODGORAČ,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1909. god.
Z-1627,Crkva sv. Nikolaja,Branjina,POPOVAC,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1796. god.
Z-7074,Kapelica na izvoru Studenac,Branjina,POPOVAC,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-1634,Crkva Uznesenja Blažene Djevice Marije,Dragotin,TRNAVA,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-1273,Crkva Bezgrešnog začeća Blažene Djevice Marije sa župnim dvorom,Valpovo,VALPOVO,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st. do 20. st.
Z-1761,Reformirana kršćanska crkva,Hrastin,VLADISLAVCI,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1793. god. do 1795. god.
Z-1693,Crkva sv. Trojstva,Čepin,ČEPIN,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1769. god.
Z-1638,Biskupski dvor,Đakovo,ĐAKOVO,Osječko-baranjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-1640,Bogoslovno sjemenište,Đakovo,ĐAKOVO,Osječko-baranjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,20. st.
Z-1639,Kanoničke kurije,Đakovo,ĐAKOVO,Osječko-baranjska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-3872,Samostanska zgrada časnih sestara sv. Križa s crkvom sv. Križa (nova samostanska zgrada),Đakovo,ĐAKOVO,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1906. god.
Z-3873,Samostanska zgrada časnih sestara sv. Križa s crkvom sv. Križa (stara samostanska zgrada),Đakovo,ĐAKOVO,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,1856. god. do 1859. god.
Z-1249,Crkva Male Gospe,Koprivna,ŠODOLOVCI,Osječko-baranjska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-395,Stari grad Kaptol,Kaptol,KAPTOL,Požeško-slavonska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-398,Povijesni kompleks Kutjevo,Kutjevo,KUTJEVO,Požeško-slavonska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,13. st. do 19. st.
Z-396,Crkva Prepodobne Matere Paraskeve,Kukunjevac,LIPIK,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
L-71,Evangelistička crkva sv. Martina,Antunovac,LIPIK,Požeško-slavonska,sakralna graditeljska baština,kulturno dobro od lokalnog značenja,1885. god.
L-70,Kalvinska crkva,Brekinska,LIPIK,Požeško-slavonska,sakralna graditeljska baština,kulturno dobro od lokalnog značenja,1900. god.
Z-388,Kapela sv. Andrije,Brezine,LIPIK,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-4261,Župni dvor,Gaj,LIPIK,Požeško-slavonska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1810. god.
Z-386,Crkva sv. Ivana Krstitelja,Badljevina,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,1770. god.
Z-417,Crkva sv. Pantelejmona,Toranj,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-389,Crkva sv. Petra i Pavla,Donji Grahovljani,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,19. st.
Z-400,Crkva sv. Trojice,Pakrac,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,1757. god. do 1768. god.
Z-401,Episkopski dvor,Pakrac,PAKRAC,Požeško-slavonska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1732. god.
Z-1972,Kapela sv. Ivana Nepomuka,Pakrac,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,1903. god.
L-64,Kapela sv. Josipa,Pakrac,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,kulturno dobro od lokalnog značenja,20. st.
L-63,Kapela sv. Roka,Pakrac,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,kulturno dobro od lokalnog značenja,
L-62,Kapela sv. Vida,Pakrac,PAKRAC,Požeško-slavonska,sakralna graditeljska baština,kulturno dobro od lokalnog značenja,19. st.
Z-387,Kapela sv. Jurja,Bilice,PLETERNICA,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 18. st.
Z-414,Kapela sv. Mihovila,Ratkovica,PLETERNICA,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-409,Kolegij Isusovaca,Požega,POŽEGA,Požeško-slavonska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1705. god.
Z-410,Kužni pil sv. Trojstva,Požega,POŽEGA,Požeško-slavonska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1749. god.
Z-2906,"Zgrada Isusovačke gimnazije, Trg sv. Trojstva 16 i 17",Požega,POŽEGA,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,1726. god.
Z-415,Crkva sv. Mihovila Arkanđela,Stražeman,VELIKA,Požeško-slavonska,sakralna graditeljska baština,zaštićeno kulturno dobro,1775. god.
Z-1985,Crkva sv. Marije Škapularske (sv. Marije Snježne),Moravička Sela,BROD MORAVICE,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,1663. god.
Z-1684,Benediktinski samostan sv. Petra Apostola,Cres,CRES,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-1842,Crkva Prikazanja Bogorodice u hramu,Beli,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,11. st.
Z-784,Crkva i samostan sv. Franje,Cres,CRES,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,13. st.
Z-127,Crkva sv. Izidora,Cres,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,13. st. do 16. st.
Z-2211,Kapela sv. Ivana,Orlec,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 13. st.
Z-2212,Kapela sv. Jurja,Vrana,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 13. st.
Z-1843,Kapela sv. Marije,Beli,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 13. st.
Z-2210,Kapela sv. Marije Magdalene,Filozići,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-2200,Kapela sv. Marije Magdalene,Cres,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,1402. god.
Z-2201,Kapela sv. Marije Magdalene s pomoćnom južnom građevinom,Cres,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 15. st.
Z-1845,Kapela sv. Mihovila,Orlec,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 13. st.
Z-1847,Kapela sv. Roka,Vrana,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-2202,Kapela sv. Šimuna,Cres,CRES,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,12. st. do 13. st.
Z-130,Samostan (ruševina) i crkva sv. Nikole,Porozina,CRES,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-1990,Župnička kuća,Lubenice,CRES,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-345,Kompleks bivšeg pavlinskog samostana u Crikvenici – Kaštel,Crikvenica,CRIKVENICA,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,14. god. do 15. god.
Z-1772,Crkva sv. Ivana Krstitelja,Sužan,DOBRINJ,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-344,Zvonik župne crkve,Dobrinj,DOBRINJ,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,18. st.
Z-3030,Crkva Majke Božje Lurdske,Vrata,FUŽINE,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,1929. god. do 1932. god.
Z-1991,Crekvina-nedovršena građevina Crkve Uznesenja Blažene Djevice Marije,Kastav,KASTAV,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,1769. god.
Z-2206,Crkva Sv. Trojstva (Sveta Trojica),Kastav,KASTAV,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 15. st.
Z-2205,Crkva sv. Antuna Pustinjaka,Kastav,KASTAV,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
Z-1992,Crkva sv. Fabijana i Sebastijana,Kastav,KASTAV,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,16. st.
Z-1766,Crkva Bezgrešnog začeća Blažene Djevice Marije,Breza,KLANA,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,1908. god.
Z-1770,Crkva sv. Jerolima,Klana,KLANA,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-1848,Crkva sv. Vincenca,Škalnica,KLANA,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,1892. god.
Z-790,Stari grad Zrinskih s crkvom sv. Nikole,Kraljevica,KRALJEVICA,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,17. st.
Z-5026,Crkva sv. Krševana,Milohnići,KRK,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-133,Kompleks Katedrale Uznesenja Blažene Djevice Marije i crkve sv. Kvirina,Krk,KRK,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,12. st.
Z-111,Kapela sv. Trojstva u Lovranu,Lovran,LOVRAN,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,13. st.
Z-123,Biskupski dvori (Župna kuća),Osor,MALI LOŠINJ,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1481. god. do 1484. god.
Z-121,Crkva sv. Gaudencija,Osor,MALI LOŠINJ,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st. do 15. st.
Z-122,Crkva sv. Marije,Osor,MALI LOŠINJ,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,1463. god. do 1498. god.
Z-124,Ruševine crkve sv. Marije i samostana na Bijaru,Osor,MALI LOŠINJ,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,1414. god. do 1732. god.
Z-785,Ruševine opatije sv. Petra,Osor,MALI LOŠINJ,Primorsko-goranska,sakralno-profana graditeljska baština,zaštićeno kulturno dobro,11. st.
Z-1771,Crkva sv. Kuzme i Damjana,Sveti Vid-Miholjice,MALINSKA-DUBAŠNICA,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,14. st.
Z-6742,Crkva sv. Marina s arheološkim nalazištem na otočiću Sveti Marin,Novi Vinodolski,NOVI VINODOLSKI,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,17. st. do 19. st.
Z-1775,Crkva sv. Jelene,Omišalj,OMIŠALJ,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,
Z-2209,Crkva sv. Jurja,Omišalj,OMIŠALJ,Primorsko-goranska,sakralna graditeljska baština,zaštićeno kulturno dobro,15. st.
