id,slug,naziv,tip,titular,religija,konfesija,adresa,mjesto,naselje,opcina,zupanija,lat,lng,zupa,zupa_oib,biskupija,zupna_crkva,oznaka_zastite,status_zastite,godina,arhitekt,stil,telefon,email,web,osm_type,osm_id,wikidata_id,wikipedia_url,commons_image,izvori
6677,svete-petke-velika-peratovica-w1462118733,Pravoslavna crkva Svete Petke,pravoslavna-crkva,sv. Petke,christian,orthodox,,,Velika Peratovica,Grubišno Polje,Bjelovarsko-bilogorska,45.7553491,17.2515612,,,,0,Z-2792,zaštićeno kulturno dobro,19. st.,,,,,,way,1462118733,,,,"[""osm"", ""kulturna-dobra""]"
5895,sv-jovana-bedenik-w1194869464,Pravoslavna crkva sv. Jovana,pravoslavna-crkva,sv. Jovana,christian,orthodox,,,Bedenik,Nova Rača,Bjelovarsko-bilogorska,45.8298793,17.0113633,ŽUPA UZNESENJA B. D. MARIJE,86849702385,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1194869464,Q9187047,,,"[""osm"", ""wikidata""]"
6678,sv-marka-velika-barna-w1462118742,Pravoslavna crkva sv. Marka,pravoslavna-crkva,sv. Marko,christian,orthodox,,,Velika Barna,Grubišno Polje,Bjelovarsko-bilogorska,45.7356464,17.1335957,,,,0,Z-2103,zaštićeno kulturno dobro,1844. god.,,,,,,way,1462118742,,,,"[""osm"", ""kulturna-dobra""]"
6123,svete-marije-magdalene-donja-kovacica-w1249942628,Pravoslavna crkva svete Marije Magdalene,pravoslavna-crkva,sv. Marija Magdalene,christian,serbian_orthodox,,,Donja Kovačica,Veliki Grđevac,Bjelovarsko-bilogorska,45.7539906,16.9974646,,,,0,Z-5119,zaštićeno kulturno dobro,18. st.,,,,,,way,1249942628,,,,"[""osm"", ""kulturna-dobra""]"
6676,pravoslavni-hram-svete-velikomucenice-hristine-donji-daruvar-w1462084443,Pravoslavni hram Svete velikomučenice Hristine,pravoslavna-crkva,sv. Velikomučenice Hristine,christian,orthodox,,,Donji Daruvar,Daruvar,Bjelovarsko-bilogorska,45.6083395,17.2254575,,,,0,,,,,,,,,way,1462084443,,,,"[""osm""]"
3043,pravoslavni-hram-svetih-apostola-petra-i-pavla-katinac-w260186118,Pravoslavni hram Svetih Apostola Petra i Pavla,pravoslavna-crkva,sv. Apostola Petra i Pavla,christian,orthodox,,,Katinac,Đulovac,Bjelovarsko-bilogorska,45.6552084,17.4067114,,,,0,,,,,,,,,way,260186118,,,,"[""osm""]"
6003,reformni-pokret-adventista-sedmog-dana-daruvar-w1221262958,Reformni pokret adventista sedmog dana,crkva,,christian,seventh_day_adventist,,,Daruvar,Daruvar,Bjelovarsko-bilogorska,45.5889784,17.2294908,,,,0,,,,,,,,https://www.rpasd.hr,way,1221262958,,,,"[""osm""]"
6215,sv-krc-podgorci-w1296346620,Rimokatolička kapela sv. Krč,kapela,sv. Krč,christian,,,,Podgorci,Rovišće,Bjelovarsko-bilogorska,45.9681717,16.7948015,,,,0,,,,,,,,,way,1296346620,,,,"[""osm""]"
815,sakralni-objekt-bjelovar-n9966043789,Sakralni objekt,ostalo,,,,,,Bjelovar,Bjelovar,Bjelovarsko-bilogorska,45.9014805,16.8478373,,,,0,,,,,,,,,node,9966043789,,,,"[""osm""]"
1275,sakralni-objekt-rovisce-n13019885360,Sakralni objekt,pravoslavna-crkva,,christian,orthodox,,,Rovišće,Rovišće,Bjelovarsko-bilogorska,45.9475433,16.7320656,,,,0,,,,,,,,,node,13019885360,,,,"[""osm""]"
